matricula_bici,pais,ciudad,numero_localizacion_origen,numero_localizacion_destino,inicio_utc,fin_utc,duracion_min,coste_eur,tipo_bici,bateria_inicio_pct,bateria_fin_pct,distancia_km,incidencia,tarifa
EB-ROM-003544,IT,Rome,413,792,2024-07-06 07:15:46+00:00,2024-07-06 07:38:46+00:00,23,0.7,mechanical,,,5.77,none,payg
EB-OSL-001107,NO,Oslo,154,655,2025-11-21 07:48:08+00:00,2025-11-21 08:11:08+00:00,23,1.97,electric,61.0,49.0,5.75,none,plus
EB-WAW-001479,PL,Warsaw,754,529,2024-06-04 13:09:31+00:00,2024-06-04 13:15:31+00:00,6,0.3,mechanical,,,1.12,none,payg
EB-STO-001522,SE,Stockholm,463,541,2025-05-25 11:23:08+00:00,2025-05-25 11:27:08+00:00,4,1.0,electric,43.0,40.0,0.91,none,standard
EB-VIE-001057,AT,Vienna,698,240,2024-09-26 02:21:57+00:00,2024-09-26 02:30:57+00:00,9,1.32,electric,54.0,48.0,2.04,none,standard
EB-ROM-002277,IT,Rome,636,178,2024-02-06 09:07:02+00:00,2024-02-06 09:38:02+00:00,31,1.1,mechanical,,,7.78,none,payg
EB-ZRH-002139,CH,Zurich,658,340,2025-04-16 21:24:52+00:00,2025-04-16 21:36:52+00:00,12,0.38,electric,64.0,54.0,3.32,none,payg
EB-STO-000403,SE,Stockholm,283,395,2025-01-10 15:29:10+00:00,2025-01-10 15:34:10+00:00,5,0.6,electric,60.0,57.0,1.33,vandalism,plus
EB-STO-001047,SE,Stockholm,176,719,2025-03-04 23:56:53+00:00,2025-03-05 00:01:53+00:00,5,0.6,electric,96.0,91.0,1.45,none,plus
EB-MAD-003114,ES,Madrid,467,726,2025-01-23 04:51:00+00:00,2025-01-23 04:57:00+00:00,6,1.05,mechanical,,,1.16,none,standard
EB-VIE-004982,AT,Vienna,613,140,2025-10-08 06:01:54+00:00,2025-10-08 06:20:54+00:00,19,0.62,electric,76.0,67.0,3.98,none,payg
EB-PAR-003989,FR,Paris,571,132,2025-01-27 11:31:25+00:00,2025-01-27 11:50:25+00:00,19,0.55,mechanical,,,2.83,none,payg
EB-MUC-004301,DE,Munich,173,449,2025-02-13 02:00:45+00:00,2025-02-13 02:36:45+00:00,36,1.98,electric,94.0,53.0,10.68,none,payg
EB-CPH-000208,DK,Copenhagen,363,112,2025-04-30 00:50:47+00:00,2025-04-30 01:06:47+00:00,16,2.16,electric,48.0,38.0,3.95,none,standard
EB-AMS-002855,NL,Amsterdam,482,630,2025-08-22 21:18:05+00:00,2025-08-22 21:21:05+00:00,3,0.32,mechanical,,,0.48,none,payg
EB-MUC-003494,DE,Munich,326,11,2024-08-29 03:32:04+00:00,2024-08-29 03:45:04+00:00,13,0.3,electric,80.0,71.0,3.5,none,payg
EB-BER-001925,DE,Berlin,718,682,2024-08-23 01:08:02+00:00,2024-08-23 01:15:02+00:00,7,1.16,electric,60.0,57.0,1.24,none,standard
EB-CPH-001025,DK,Copenhagen,505,85,2024-02-19 20:02:39+00:00,2024-02-19 20:18:39+00:00,16,1.78,mechanical,,,3.03,none,standard
EB-CPH-003682,DK,Copenhagen,321,698,2024-12-10 00:46:17+00:00,2024-12-10 00:53:17+00:00,7,0.69,mechanical,,,1.4,none,plus
EB-BUD-002316,HU,Budapest,93,37,2025-10-31 20:20:14+00:00,2025-10-31 20:37:14+00:00,17,1.96,electric,27.0,11.0,4.82,none,standard
EB-BRU-004425,BE,Brussels,512,380,2025-01-25 14:29:22+00:00,2025-01-25 14:50:22+00:00,21,2.28,electric,59.0,36.0,6.94,none,standard
EB-PRG-003888,CZ,Prague,11,479,2025-02-04 07:44:14+00:00,2025-02-04 08:05:14+00:00,21,1.8,mechanical,,,3.88,none,standard
EB-WAW-003285,PL,Warsaw,349,59,2024-08-22 18:13:40+00:00,2024-08-22 18:36:40+00:00,23,1.9,mechanical,,,4.79,none,standard
EB-WAW-000637,PL,Warsaw,688,527,2025-06-28 10:45:49+00:00,2025-06-28 10:55:49+00:00,10,1.25,mechanical,,,1.8,none,standard
EB-ZRH-000068,CH,Zurich,360,405,2025-10-01 02:13:03+00:00,2025-10-01 02:15:03+00:00,2,1.25,electric,31.0,29.0,0.54,none,standard
EB-CPH-002592,DK,Copenhagen,347,44,2024-12-16 03:28:56+00:00,2024-12-16 03:31:56+00:00,3,1.15,mechanical,,,0.55,none,standard
